x	y	z	stroke	pen
0.3550	0.0193	0.0500	横	down
0.3730	0.0193	0.0500	横	down
0.3910	0.0193	0.0500	横	down
0.4090	0.0193	0.0500	横	down
0.4270	0.0193	0.0500	横	down
0.4450	0.0193	0.0500	横	down
0.3978	0.0140	0.0800	pen_up_to_撇	up
0.3978	0.0140	0.0500	pen_up_to_撇	up
0.3978	0.0140	0.0500	撇	down
0.3899	0.0042	0.0500	撇	down
0.3821	-0.0056	0.0500	撇	down
0.3743	-0.0154	0.0500	撇	down
0.3664	-0.0252	0.0500	撇	down
0.3586	-0.0350	0.0500	撇	down
0.4022	0.0140	0.0800	pen_up_to_捺	up
0.4022	0.0140	0.0500	pen_up_to_捺	up
0.4022	0.0140	0.0500	捺	down
0.4101	0.0042	0.0500	捺	down
0.4179	-0.0056	0.0500	捺	down
0.4257	-0.0154	0.0500	捺	down
0.4336	-0.0252	0.0500	捺	down
0.4414	-0.0350	0.0500	捺	down
